LocationAbbr,LocationDesc,MortalityPer100k
AK,Prince of Wales-Outer Ketchikan,
AK,Sitka,
AK,Skagway-Hoonah-Angoon,
AK,Southeast Fairbanks,484.9
AK,Valdez-Cordova,781.5
AK,Wade Hampton,487.4
AK,Wrangell-Petersburg,
AK,Yakutat,
AK,Yukon-Koyukuk,482
AK,Aleutians East,
AK,Aleutians West,
AK,Anchorage,290.6
AK,Bethel,266
AK,Bristol Bay,
AK,Denali,
AK,Dillingham,290.2
AK,Fairbanks North Star,281.2
AK,Haines,
AK,Juneau,
AK,Kenai Peninsula,268
AK,Ketchikan Gateway,
AK,Kodiak Island,
AK,Lake and Peninsula,291.3
AK,Matanuska-Susitna,219.6
AK,Nome,275.6
AK,North Slope,197.4
AK,Northwest Arctic,259.6
AK,Prince of Wales-Outer Ketchikan,
AK,Sitka,
AK,Skagway-Hoonah-Angoon,
AK,Southeast Fairbanks,179.9
AK,Valdez-Cordova,232.3
AK,Wade Hampton,285.2
AK,Wrangell-Petersburg,
AK,Yakutat,
AK,Yukon-Koyukuk,264.7
AK,Alaska,269.3
AK,Alaska,350.9
AK,Alaska,196.7
AK,Alaska,265
AK,Alaska,336.8
AK,Alaska,196
AK,Alaska,231.8
AK,Alaska,344
AK,Alaska,
AK,Alaska,119.4
AK,Alaska,
AK,Alaska,
AK,Alaska,160.8
AK,Alaska,160.8
AK,Alaska,160.8
AK,Alaska,387.5
AK,Alaska,538.1
AK,Alaska,267.3
AL,Autauga County,445.2
AL,Baldwin County,376.1
AL,Barbour County,476.7
AL,Bibb County,458.9
AL,Bullock County,423.5
AL,Butler County,474.8
AL,Calhoun County,557.6
AL,Chambers County,435.4
AL,Cherokee County,453.6
AL,Chilton County,541.1
AL,Choctaw County,540.9
AL,Clarke County,444.8
AL,Clay County,503.1
AL,Cleburne County,491.6
AL,Coffee County,445.3
AL,Colbert County,533.7
AL,Conecuh County,485.8
AL,Coosa County,402.2
AL,Covington County,456.7
AL,Crenshaw County,426.4
AL,Cullman County,443.6
AL,Dale County,434.5
AL,Dallas County,601.4
AL,DeKalb County,534.2
AL,Elmore County,451.1
AL,Escambia County,486.5
AL,Etowah County,534.4
AL,Fayette County,429.8
AL,Franklin County,549.8
AL,Geneva County,456
AL,Greene County,477.4
AL,Hale County,467.5
AL,Henry County,446.1
AL,Houston County,366.6
AL,Jackson County,502.5
AL,Jefferson County,389.1
AL,Lamar County,456.2
AL,Lauderdale County,366.6
AL,Lawrence County,562.6
AL,Lee County,378.1
AL,Limestone County,459
AL,Lowndes County,398.3
AL,Macon County,510.5
AL,Madison County,387.3
AL,Marengo County,536.2
AL,Marion County,557.5
AL,Marshall County,513.7
